1,.,.,o,.,.,.,.,.,.,
2,.,.,o,x,.,.,.,.,.,
3,.,.,o,x,.,o,.,.,.,
4,.,.,o,x,.,o,x,.,.,
5,.,.,o,x,.,o,x,.,o,o
1,.,.,o,.,.,.,.,.,.,
2,.,.,o,.,.,.,.,x,.,
3,.,.,o,.,.,.,o,x,.,
4,.,.,o,x,.,.,o,x,.,
5,o,.,o,x,.,.,o,x,.,
6,o,.,o,x,.,x,o,x,.,
7,o,.,o,x,o,x,o,x,.,o
1,.,.,.,.,o,.,.,.,.,
2,x,.,.,.,o,.,.,.,.,
3,x,.,.,.,o,.,.,o,.,
4,x,.,.,.,o,.,.,o,x,
5,x,o,.,.,o,.,.,o,x,o
1,.,.,.,o,.,.,.,.,.,
2,.,.,.,o,.,.,x,.,.,
3,.,.,.,o,.,o,x,.,.,
4,.,.,x,o,.,o,x,.,.,
5,.,.,x,o,o,o,x,.,.,o
1,o,.,.,.,.,.,.,.,.,
2,o,.,.,.,.,.,.,.,x,
3,o,.,.,.,o,.,.,.,x,
4,o,.,.,x,o,.,.,.,x,
5,o,.,.,x,o,o,.,.,x,
6,o,.,.,x,o,o,.,x,x,
7,o,o,.,x,o,o,.,x,x,
8,o,o,x,x,o,o,.,x,x,
9,o,o,x,x,o,o,o,x,x,d
1,.,.,.,.,.,o,.,.,.,
2,.,.,.,.,x,o,.,.,.,
3,.,.,.,.,x,o,o,.,.,
4,.,x,.,.,x,o,o,.,.,
5,.,x,.,o,x,o,o,.,.,
6,.,x,x,o,x,o,o,.,.,
7,.,x,x,o,x,o,o,o,.,
8,.,x,x,o,x,o,o,o,x,
9,o,x,x,o,x,o,o,o,x,d
1,.,.,.,.,.,.,.,o,.,
2,.,x,.,.,.,.,.,o,.,
3,.,x,o,.,.,.,.,o,.,
4,.,x,o,x,.,.,.,o,.,
5,o,x,o,x,.,.,.,o,.,
6,o,x,o,x,x,.,.,o,.,
7,o,x,o,x,x,.,o,o,.,
8,o,x,o,x,x,x,o,o,.,x
1,.,.,o,.,.,.,.,.,.,
2,x,.,o,.,.,.,.,.,.,
3,x,.,o,.,.,.,.,.,o,
4,x,.,o,.,.,.,.,x,o,
5,x,.,o,.,.,.,o,x,o,
6,x,.,o,.,.,x,o,x,o,
7,x,.,o,.,o,x,o,x,o,o
1,.,.,.,o,.,.,.,.,.,
2,.,.,.,o,.,.,.,x,.,
3,.,.,.,o,o,.,.,x,.,
4,.,.,.,o,o,.,.,x,x,
5,.,.,o,o,o,.,.,x,x,
6,.,.,o,o,o,x,.,x,x,
7,.,.,o,o,o,x,o,x,x,o
1,o,.,.,.,.,.,.,.,.,
2,o,.,.,.,.,.,.,.,x,
3,o,.,.,.,.,o,.,.,x,
